,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2622,,,,,Illicit morphine,,,,,,,,,,,,,,,19.3530006408691,3.5,45.140998840332,6.037800179302691,15.0,2.427,2.0,11.024,1.896,7.196,12.369,4.694,3.895,5.63,4.435,5.133,5.37843,1.025,4.9,5.4,1.5,1.44,0.256,0.313,1.112
2623,,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,11518.4326171875,16114.2001953125,19936.0,20141.900390625,18967.80078125,22976.0,23510.650390625,33801.919,23313.0,43877.267,29847.879,41844.638,89653.0,30618.0,23741.59,26865.404,25138.712,33393.07,32003.809,26026.438,26594.7,24808.9,21144.9,20807.528,13433.716,12352.493,12888.383
2624,,,,Opium,Opium,,,,,,,,,,,25.3,,31.0419998168945,13.7019996643066,784.22998046875,1156.90002441406,1400.5,222.705993652344,1803.7,1506.966,2186.0,862.645,445.254,2232.28,2058.0,1523.0,534.538,362.691,438.795,309.783,112.624,47.888,182.9,80.6,46.6,6.29,16.031,2.526,1.347
2625,,,,Other drugs,Acetic anhydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,
2626,,,,,Aminoindanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.89,,,,
2627,,,,,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,,,3.451,,,,,,,,,,,,,,,
2628,,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.011096,8.9829,4.0,1.4,5.3,0.159,,,
2629,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.115,7.042590000021374,9.739899999999999,6.5,28.14613,0.004,,,
2630,,,,,Cannabis oil,,,,,,,,,,,,,,,51.9879989624023,45.2000007629395,42.2000007629395,,102.9,141.344,291.0,366.59,208.747,122.914,223.0,267.251,410.677,308.52,418.989,488.589,582.75,485.05,534.5,381.6,362.5,443.994,215.415,169.585,147.76
2631,,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.327,2081.116,3198.502,2148.555
2632,,,,,Cannabis seed,,,,,,,,,,,,,,,,,,0.0209999997168779,,,,,,,,,,,,,,,,,,,,,
2633,,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,0.417,,,
2634,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,32.7869987487793,16.7999992370605,91.0,0.00974999978207052,,39.5,2.42,61.574,,213.056,1215.0,1103.0,9.047582,74.195,140.289,60.276,888.882,,,,,,,,
2635,,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.907,517.7,974.3,787.3,638.715,,,3.174
2636,,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,
2637,,,,,LSD,,,,,,,,,,,,,,,,,,,,,0.38,1.676,2.813,0.003,0.764,0.003,,0.053,,0.074,0.131,1.057,0.13,0.08,0.002,,,,
2638,,,,,Non-specified,,,,,,,,,,,,,,,3427.5,852.002014160156,,0.0028699999358505,673.5022999977134,905.5,835.0,,,,,,,,,,,,,,,,,,
2639,,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,1.676,2.813,0.096,0.404,1.858,0.205,,0.061,,,,,,,,,,
2640,,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2385.65,,,,0.188,,,
2641,,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714,0.388,16.332,0.946
2642,,,,,Other illicit opioids,,,,,,,,,,,,,,,,,106.400001525879,4.925275190738957,167.7,54.575,18.0,21469.675,93.446,1003.626,3.814,,,62.321,5.707,7.156,69.312,110.986,95.2,4.2,3.0,98.953,0.497,0.793,0.259
2643,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0098,1.6,1.597,,,0.61
2644,,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.6,,,,
2645,,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.712,4.2,30.3,78.5,8.605,,,5.585
2646,,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.606999999999999,,,
2647,,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,23271.0,814.641,215.075,,,2.174,122.49726,,,,,,,,
2648,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.656
2649,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,0.012251,0.028388999999999998,17.300302,43.211,86.75128000000001,39.147,30.626,281.89,81.234
2650,,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
2651,,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,0.04598,0.0961,,,0.004,0.007,0.001,
2652,,,,,Poppy plants,,,,,,,,,,,,,66.2220001220703,1070.83996582031,22932.87109375,22864.599609375,19469.80078125,853.018981933594,16511.359375,18366.055,,,,,,3399.0,2543.0,1863.477,2798.988,2807.298,2574.512,4272.862,3195.8,2216.2,1438.4,1043.258,270.161,375.219,222.34
2653,,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,18564.0,,,,3285.0,,,,,,,,,,,,,,
2654,,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.936,535.6,,,1490.208,710.433,518.123,
2655,,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.85,142.1,217.3,84.9,,27.413,62.005,
2656,,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.7,3070.09,2023.73,2662.967,
2657,,,Ukraine,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,7.042107,57.921558000000005,33.0,18.8,2.184,44.1,28.224625,1.7,24.5,17.94,32.43,18.1,16.83,
2658,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,3.97,,5.0987,,,,13.630721,,,
2659,,,,,Non-specified ATS,,,,,,,,,,,,,,4.35374988555908,,,7.09999990463257,39.5,2.48200011253357,,1.196,0.716,,,10.02575,,,,,0.144,,,2.19,11.79,4.54,,1.5,1.18,
2660,,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,6.40000009536743,,,625.010009765625,250.585998535156,26.263,0.52,0.018,0.012,0.094,16.816,2.06,3.328,19.3,43.9,10.417,,,,,,,,,
2661,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,6.311,43.59,30.972,0.005,4.638548,0.21,0.1,
2662,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,6.4676480000000005,1.601464,0.012737,,,,9.101355,10.3,3.27,,,,0.47425,,0.01,0.03,0.008897,5.5,1.16,
2663,,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,208.199996948242,51.0130004882813,20.8159999847412,9.5,6150.10009765625,14.0,49.316,11.13,6.95,12.224,2.5,0.4,16.725,2.74,,6.371,,27.316,,0.665,257.59,112.03,,0.98,
2664,,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,9.5019998550415,4.02500009536743,3.7279999256134,8.9399995803833,21.53,21.743,8.669,206.6,2.406,8.401,2.0,49.168,515.2,306.0,16.571,7.1,10.344,9.36,110.111,37.98,804.59,0.02,0.1,
2665,,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,0.00220000003278255,,,,0.84,,,,,,,,,
2666,,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,,3141.0,1279.19995117188,,,4045.0,11609.932,8195.32,80.0,0.107,7358.0,1042.0,210.061,12065.0,3700.0,15282.32,6786.0,7174.86,8001.0,4369.88,2171.7,5384.32,1375.0,3617.34,
2667,,,,Opium,Opium,,,,,,,,,,,,61.5999984741211,,119.765998840332,,23.0,194.52799987793,171.199996948242,127.0,,166.056,151.009,42.0,3.367,134.395,29.0,57.073,35.1,28.4,69.011,93.2,0.726,5.5,119.604,33.34,56.675000000000004,,,
2668,,,,Other drugs,Acetic anhydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.6,,,,
2669,,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0275899993833154,,,,,,,
2670,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429649990396574,,,,0.0371799991689622,,,
2671,,,,,Cannabis oil,,,,,,,,,,,,,,,,0.0149999996647239,,,,,,,,,,235.0,,,,,,,,,,,,,
2672,,,,,Cannabis plants,,,,,,,,,,,,534.0,763.0,1870.0,,154.7,2159.0,6091.0,5103.36376953125,,,,4.155,83.867,589.836,,34121.416,135000.0,,,,,,,37.88,41.29,,,
2673,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,36.8680000305176,,,0.08526999811641871,2.89317993533239,,606.0,,,0.223139995012432,,,,,,,,,,,,,
2674,,,,,Ephedrine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,
2675,,,,,LSD,,,,,,,,,,,,,,,,,,6.99999982316513e-07,2.49999993684469e-05,1.79999995452818e-06,1.34999996589613e-06,2.34999994063401e-06,2.38499993974983e-05,7.79999980295543e-06,,,,,,,,,,,0.01,4.99999987368938e-08,,,
2676,,,,,Non-specified,,,,,,,,,,,,,,,,,9.7819995880127,,,,,,,,,,,,,,2944.2,,2.19,,,,,,
2677,,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,4713.0,,,,,,,,,,,,,
2678,,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,
2679,,,,,Other coca/cocaine type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,
2680,,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125142001624227,,,
2681,,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.314,,,,56.5,10.2,,
2682,,,,,Other illicit opioids,,,,,,,,,,,,0.248525003703311,,,,,486.5,,,0.290000004321337,,,20.0,,,0.0455750006791204,,,,,,,,,,,,,
2683,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.032319,,,
2684,,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688650010261685,,,
2685,,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.6,,,,
2686,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,12.8,,,1.571600010737777,,,3.71,6.195055008159875,,,
2687,,,,,Poppy plants,,,,,,,,,,,,14617.0,94.2720031738281,24269.0,171.899993896484,3878.899996948242,,34003.26171875,26632.80078125,,,,23115.0,,,,,,164000.0,,4162.1,,7.4,,384.2,930.364,,,
2688,,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,133.0,,,,,,159.0,,,,,,,,,,,,,
2689,,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,,
2690,,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,,,,,,,,
2691,,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,13.257346,,,
2692,,,USSR,ATS (excluding ecstasy),Non-specified ATS,,,0.0120000001043081,,,,,0.0020000000949949,,,,0.90200001001358,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,,,,Cocaine,"Cocaine (base, paste and salts)",0.00100000004749745,,,,,,,3.84999990463257,3.50699996948242,0.444000005722046,,12.7110004425049,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,,,,Hashish (resin),Hashish (resin),,,,,,,,,,3000.19311523438,4267.47021484375,3021.09692382813,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,,,,Heroine and Morphine,Heroin,,,,0.128000006079674,5.96799993515015,15.1260004043579,2.83200001716614,0.5690300057213754,20.7840003967285,6.01800012588501,5.37200021743774,13.210000038147,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,,,,,Illicit morphine,,0.0489999987185001,,,,0.305999994277954,0.3006999869719146,0.3546000110208992,0.0419999994337559,0.00130000001937151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,,,,Marijuana (herb),Marijuana (herb),11.0,15.0,23.0,26.3099994659424,37.9440002441406,12.9829998016357,24.2910003662109,7091.9580078125,16.8250007629395,200.651000976563,88.4599990844727,77.9459991455078,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,,,,Opium,Opium,1.0,1.0,13.0,2.38000011444092,1.16700005531311,4.62900018692017,7.133099842369552,18.2859992980957,9.66800022125244,,1.21399998664856,2.86500000953674,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,,,,Other drugs,Cannabis plants,,,,,,,,,,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,,,,,Depressants (excluding Methaqualone),,,,,,,0.0332199992574751,2.15700006484985,,0.166999995708466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,,,,,Non-specified,,,,,,,0.00092999997921288,0.00169999996200204,,0.000439999990165234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,,,,,Other illicit opioids,,,,,,,0.04965000044181942,0.06042500179447234,0.0140000004321337,0.00480000007152557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,,,,,Poppy plants,,,,,,,0.899999976158142,,,3.10800004005432,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,,South-Eastern Europe (including Turkey),Albania,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,0.009,,,0.00253,0.01265,,,,,,0.0014,,,,,,,,,
2705,,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,,,,,2.159,4.0,0.266,0.0057,1.2855,2.3,2.8478,3.8573,12.8646,5.397,3.5502,,,,,,,,,
2706,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2689,2.196,4.061,16.1,10.0282,27.143,7.16378,3.705,630.566
2707,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017344,,,,,,,0.0014,0.0006,0.022,0.00404
2708,,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.21,5.1122,,24.45,60.16,22.8984,122.736,363.408
2709,,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,,,,7.122,47.0,4.5,71.7137,114.475,138.0,40.9451,120.0414,126.7587,74.8772,101.6842,15.5185,21.409,87.7199,47.4,73.4917,36.934,57.33358,21.495,23.971
2710,,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,0.00100000001490116,,0.00100000001490116,0.00100000001490116,,,,,,,,,,,,,,,
2711,,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,,,,,,4395.156,6604.0,6915.0,13717.8985,7760.1702,4152.8,6332.0104,6754.2071,7100.6008,3941.3133,3424.4794,7304.8058,7695.658,21138.2314,20672.9,101726.102,11352.89,30014.99102,78190.113,20365.082
2712,,,,Opium,Opium,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,182.5
2713,,,,Other drugs,APAAN (alpha-phenylacetoacetonitrile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,
2714,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,
2715,,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,13.0,2.09999990463257,,0.600000023841858,48.5,,7.0,0.949999988079071,,,0.0094999996945262,,1.584,0.5,,11.1544,5.818,,7.129,51.758
2716,,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,11567.8,16829.8,7375.7,33218.6,675.4,17707.4,14517.5,12529.2,3721.6,2126.7,3300.0,,55141.4,,253628.8,6692.7,3598.5
2717,,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,3.0448,2.351,0.3432,,1.826,3.69,0.87445,5.23,1.761
2718,,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
2719,,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,,,0.4801749892737717,,0.00052500000782311,,,,,0.000400000005960464,,,,,,,,,,,
2720,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.9671,,0.1,,,,
2721,,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,
2722,,,,,Other precursors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,,,,
2723,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,0.00132000003941357,,,,,0.0223,,0.00425000006332993,0.0903,0.0314,0.001,0.5431,,0.017,0.5138,0.024,0.007,0.0577
2724,,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.595,,,,,,,,,
2725,,,Bosnia and Herzegovina,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,117.0,,,5.0646379999999995,2.142,2.565556,3.583,0.769,1.5805,0.017,30.802183,11.83,18.3811,7.558884,0.01716,,22.098055
2726,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.708836,0.3563,,,,,,,,,,
2727,,,,,Non-specified ATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20765,,5.160935,,9.18175,4.0,,,0.0205,,58.49229,
2728,,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0745,2.0,,,,,,
2729,,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,,,,0.005,,164.392,,0.24,,,10.0,0.65,2.860869,1.0,3.991,,,,,,,,,
2730,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.506,0.257,0.12953,1.97,0.1286,10.50420000000298,10.82,1.8707700000238419,4.267713
2731,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,0.282111,,,,0.328452,,,0.917877,1.290231,2.88344,2.991569,0.372153,4.472855,0.26445,0.042734,0.004567999999999999,0.0,1.478745,0.00035,250.19766,12.057298999999999
2732,,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,0.5,,0.002,,0.06,,,,0.2,0.117,60.923,0.238,0.017,0.003,0.01625,,15.11,0.0075,2.990240000128746,1.11,0.11517000001072884,0.08379100001072884
2733,,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,,0.643,0.017,0.686,1.125,0.375,1.9001499999966471,3.265,,,69.0,4.0,9.702835999985918,18.0,27.921,26.473,10.212,13.15844,7.88,4.3497,13.004929999778046,3.44,90.78884999990143,3.072163999924898
2734,,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,,,,,15.919,1.002,53.815,59.144,127.982,467.585,919.545,,,320.163,11.6,164.441,275.0,90.0,475.93899999999996,444.0,262.55208,294.65,327.0785,94.167,508.5,462.86044,2305.1904999999997
2735,,,,Opium,Opium,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,,,,,,,,
2736,,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000749999983236194,,,,,0.30962999307923,0.0273599993884563,,
2737,,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0105,,,
2738,,,,,Cannabis plants,,,,,,,,,,,,,,,,,48.7,44.3,144.5,1622.2,45.1,,,,,279.9,432.7,381.9,272.449,381.2,776.9,724.1,427.6,429.8,0.0,207.752,523.1,411.149,969.9306750000001
2739,,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0182499995920807,,,,0.000239999994635582,0.23,0.0103499997686595,,,0.000389999991282821,0.6284,,0.2098539981034547
2740,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00347999992221594,0.0108399997577071,0.020659999538213,,,,,,,,,
2741,,,,,LSD,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49999991158256e-06,,,,,,,,,4.99999987368938e-08,,,
2742,,,,,Non-specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3409699993077666,,
2743,,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030009999577328597,,,,,,
2744,,,,,Other illicit opioids,,,,,,,,,,,,,,,,,,,2.5000000372529e-05,,,,,,,,,,,,,,,,,,,,
2745,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2746,,,,,Other prescription medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325849992716685,,,,,,,
2747,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,149.0,,,,,,,,,,,,,,0.21,,
2748,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,0.0120000001788139,,,,,,0.3536000012457371,,,,,0.166,,
2749,,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000469999989494681,,,,,,,
2750,,,Bulgaria,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,214.608223,64.84298,208.18849,617.312853,1456.2178760000002,1119.688548,875.96,209.3046,505.918211,252.899,188.007927,229.4966,36.591,69.332743,182.674,43.174609000000004,272.550767,399.532611,74.75674
2751,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,0.0288,,0.227025,,,,,6.17575,35.370000000000005,2.1035,6.407,32.562,30.13,4.51705,6.0084,16.276525
2752,,,,,Non-specified ATS,,,,,,,,,,,,,,,,,,134.292999267578,0.0375,92.92399999999999,,0.025,0.00425,5.58975,,,,0.098,,,,,,,,,,,
2753,,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,145.997,0.024,0.029,,,,1.0,
2754,,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.321,0.065,,
2755,,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,1.67499995231628,0.467000007629395,7.60500001907349,21.5149993896484,2.01099991798401,685.585021972656,17.01,4.333,12.752,36.282,8.884,0.896,141.745,80.177,6.49437,25.643,235.25,,,,,,,,,
2756,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.531,2.125,80.772,19.677,26.865,9.36,90.54,42.05,21.97
2757,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,1.226004,8.539831,2.3495850000000003,0.297287,73.57636099999999,0.531355,79.51,3.623407,56.759,24.879402000000002,0.402679,0.6258750000000001,15.210808,14.43007,147.934,4.685963999999999,187.19506199999998,322.282785,259.970717
2758,,,,Hashish (resin),Hashish (resin),466.0,250.0,196.0,27.9799995422363,289.720001220703,106.830001831055,22.3950004577637,409.178985595703,940.200012207031,60.4850006103516,51.2000007629395,27.1299991607666,,33.681999206543,,,8995.83984375,533.570007324219,0.680000007152557,0.01,514.017,422.584,88.476,384.509,0.381,0.014,29.792,2.382,0.063,44.507,0.11,16.842,15967.24,5.25,2.362,12.6,0.26,0.29,2.43
2759,,,,Heroine and Morphine,Heroin,22.7299995422363,41.2400016784668,24.7549991607666,4.5,36.2939987182617,42.3800010681152,4.09999990463257,30.80299949646,133.009994506836,155.759994506836,136.009002685547,145.345001220703,158.438995361328,557.054016113281,363.407989501953,199.378997802734,248.264999389648,322.691009521484,219.63200378418,265.249,2067.201,1550.629,535.09,778.637,828.931,416.12073999620605,701.34,1164.206,1224.676,1183.332,330.005,383.662,198.1,210.013,940.488,265.42,526.406,697.71,1020.97
2760,,,,,Illicit morphine,,,,,,,52.0999984741211,,,,,,,,,4.89499998092651,,4.0,,0.00160000002384186,,,,0.014,0.00360000005364418,0.1032000015378,,0.3157000000104308,0.00240000003576279,0.030100000448525,,0.00980000014603138,,,3.0,,0.352,221.07,
2761,,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,84.6709976196289,,440.066986083984,93.9020004272461,5475.64892578125,227.440002441406,1527.56201171875,29365.0,295.947,183.061,1308.97,689.051,1061.447,264.868,8226.35,513.371,1026.03,45.551,39.444,460.74,164.62,614.161,1674.081,1175.76,644.0,1579.77,959.25
2762,,,,Opium,Opium,,,,,,,,2.15400004386902,,,,,1.54200005531311,4.32999992370605,,0.370999991893768,0.0799999982118607,8.23999977111816,1.97000002861023,4.466,,1.98,1.44,0.053,,0.189,,53.096,10.783,,10.224,12.078,0.811,1.04,18.73,4.8,0.001,43.21,10.34
2763,,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,3.3,,
2764,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00959999978542328,,,0.150899996627122,15.5,,0.0275999993830919,1.654389997666702,
2765,,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.00180000007152557,,,,,,3.885,,,,,,,,,,0.13,
2766,,,,,Cannabis plants,,,,,,,,,,,,,,,,282.8,50000.0,127000.0,17094.3,274.2,13057.826,21390.0,7457.24,12535.273,1.245,404.013,1044.722,4891.7,14807.661000041962,9942.514,2296.623,745.6,2879.413,1812.6,21516.0,39926.1,36923.31,35430.49,2424.4
2767,,,,,Cannabis seed,,,,,,,,,,,,,,,,,5.98600006103516,1.25,6.55600023269653,6.768,1.872,,,,,0.7,,,,0.323,0.193,0.4501799999959767,0.1,,,,,,
2768,,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,0.71,129.393,0.947,0.709,0.656,3.638,,,,,,0.5,,4.0,
2769,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,0.626999974250793,0.934599979110062,1.5,4.723419999074191,,1.103,,,,0.823229981599376,0.0988499977905303,0.0125999997183681,0.0217799995578825,,,,,,,,,
2770,,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,2.0,65.0,1.0,,2.0,,,
2771,,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,
2772,,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
2773,,,,,Non-specified,,,,,,,,,,,,,,,1.05999994277954,0.342999994754791,,,,,22.126,,,,,0.275979993831366,,,,,,,,,,,,,
2774,,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,
2775,,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,0.0203000003024936,,,,,,,,,,,,0.0254000003784895,,
