,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
40,,,,,Cannabis seed,,,,,,,0.307000011205673,0.0649999976158142,0.125,,,,0.000209999995306134,599.385009765625,,,,33.4210014343262,11.503999710083,115.819,24.323,22.0,26.5,30.6,95.0,34.5,25.2,75.37,,,2.18,4.71,3.4,63.0,67.67,,210.0,294.0,
41,,,,,Depressants (excluding Methaqualone),946.799987792969,207.731002807617,146.199996948242,206.388000488281,144.64599609375,,,4.58799982070923,11.6269998550415,19.1259994506836,18.5480003356934,,,,,,,,,,,,0.850639980986714,0.0985599977970123,0.0285799993611872,3.25422992726229,0.822299981620163,0.0337999992445111,,9.99999977648258e-05,0.000499999988824129,,,,,,,,
42,,,,,LSD,,,,,,1.79999995452818e-06,,,,,,,5.18499986901588e-05,,,2.02999994871789e-05,3.34499991549819e-05,7.49999981053406e-07,2.56999993507634e-05,,1.49999996210681e-05,,,4.99999987368938e-07,,,,,,,,,,,9.99999974737875e-06,,,1.4599999631173e-05,
43,,,,,Methaqualone,,,,,,207.972742553711,17.2369995117188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,Non-specified,,,,,,,,,,,,18.1280002593994,,,,,,,,,,,,,,,,,,,,,,,1570.0,,,,
45,,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,1529.0,,,,,,,,,,,,,
46,,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105,,
47,,,,,Other illicit opiates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
48,,,,,Other illicit opioids,,,,,,,,,,,,,7.61999988555908,4.90299987792969,,30.9039993286133,0.0299999993294477,0.0599999986588955,,0.0299999993294477,1.13999998569489,,,,,,,,,,,,,,,,43.0,,
49,,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
50,,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.99999991059303e-05,,
51,,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014899999666959,,,,,,,,,,
52,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,577.0,,
53,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000400000005960464,,,,,12641.598138374517,12113.768776038889,
54,,,,,Plant-based NPS,,,,,,13.6400003433228,1.02999997138977,0.851000010967255,,,,,,,,28.0,4.19999980926514,1.77199995517731,4.34999990463257,13.88,,,,,,,,,,27.04,,88.0,24.5,15.0,3.416,,,,
55,,,,,Poppy plants,491517.8,451130.0,334406.1,246318.4,6797.7,54110.9,47615.6,51520.7,249440.0,62297.0,475403.9,285483.4,378346.3,9313894.4,13882849.6,1762179.6,363932083.2,,3021400.351999998,14.552,56270.0,10.0,19.25,,150.0,30.0,,161.07,,,,,,,,,,,
56,,,,,Poppy seed,,,,,,,0.246999993920326,0.0020000000949949,0.40599998831749,,,,,,1267.51501464844,2655.57788085938,,,,180.022,185.088,,,,,39.0,117.7,,,220.025,,,,,,,,186.0,
57,,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00254999994300306,,,,,,,,,
58,,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,,,,
59,,,,,Synthetic cannabinoids under international control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,
60,,,Libya,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,0.3,,,,0.136000007390976,0.7,20.7,0.53131,0.359,2.06,0.011,0.151,0.041,5.6,,,,,,,,,,,
61,,,,Hashish (resin),Hashish (resin),,20.0,,,,,,,,,116.588996887207,250.830993652344,2573.54,2244.8,2342.59,1354.86,592.49,310.0,471.954986572266,1476.0,3418.93,7033.32,4.024,3134.0,4353.0,11321.344,18605.806,,,,,,,,,,,,
62,,,,Heroine and Morphine,Heroin,,,,,,,,,,,2.29999995231628,3.5,2.981,6.8,2.98,5.266,2.466,0.851,4.80900001525879,3.782,10.319443,12.954778,7.152,7.1,24.445,23.424,17.716,,,,,,,,,,,,
63,,,,Marijuana (herb),Marijuana (herb),,,,,,,,18.4029998779297,,2522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,Other drugs,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,Cannabis plants,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,,,,,,,,,0.652349985418841,,,,,,,,,,,,
67,,,,,Non-specified,,,,,,,,,,,,,,,,,,0.337699992451817,0.660779985230416,1.27511997149885,2.45454994513653,0.870469980543479,,,,,,,,,,,,,,,,,
68,,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,3.76640005612373,,,,,,,,,,,,,
69,,,Morocco,ATS (excluding ecstasy),Non-specified ATS,,,,,,,,,,,,,,,,,,,12.39025,18.47925,,,,,,,,,12.07325,,,,,,,,,,
70,,,,Cocaine,"Cocaine (base, paste and salts)",,8.0,,0.00999999977648258,,0.0860000029206276,,20.8939990997314,3.53999996185303,4.4210000038147,22.2840003967285,16.9529991149902,5.47100019454956,0.483999997377396,2.32399988174438,6.29400014877319,91.1949996948242,6055.5498046875,30.1110000610352,1.742,0.898,4.3083050001534815,15.802500000022352,2.59,4.012000000114739,843.047,53.66,248.77505,33.791,22.8,,,,,,,,,
71,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.425,57.093,23.533,14.44,632.0,120.31,1621.128,2837.423,1691.0
72,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,7.660357,,,,,,,,,,,,,,,,,0.210838,3.633026,2.283446,3.388855,130.526066,149.041057,291.700606
73,,,,Hashish (resin),Hashish (resin),32821.0,47050.0,47299.0,47547.0,35368.0,8851.0,6417.76513671875,7937.72802734375,9723.8017578125,29593.162109375,42639.625,41478.97265625,65540.03125,106289.0,97047.578125,110245.328125,64769.09765625,71887.46875,55519.734375,54755.235,143946.033,61355.736,66394.0,96305.867,86800.0,92423.077,88280.0,117706.0,113703.0,187590.0,118633.0,125679.0,137335.0,107209.0,221000.0,235000.0,236870.0,117190.0,71870.0
74,,,,Heroine and Morphine,Heroin,,,,,5.55999994277954,0.584999978542328,,3.02600002288818,,0.017000000923872,0.579999983310699,0.0879999995231628,0.451999992132187,0.202000007033348,1.54499995708466,7.15199995040894,0.36217998855188466,0.317999988794327,1.28199994564056,0.437,0.152,3.9746429999262394,3.52853999998793,0.7597,1.0005299999651314,2.022,0.71423,1.906425,6.325,28.085,4.855,2.006,9.723,3.174,7.3,4.49,15.45,11.47,3.63
75,,,,,Illicit morphine,,,,,,,,,,,,0.119999997317791,,0.119999997317791,,,0.109999999403954,0.317999988794327,0.996999979019165,,,0.0247000003680587,,,,,,,,,,,,,,,,,
76,,,,Marijuana (herb),Marijuana (herb),,,,,,37071.0,46822.03125,23688.544921875,130555.09375,38094.28125,65656.9609375,20705.216796875,27022.748046875,26452.40234375,34200.28515625,35807.87109375,38521.14453125,27955.978515625,37160.87890625,46136.058,83719.676,68168.624,88529.162,69058.207,318610.0,115000.0,45640.0,209445.0,221923.0,223140.0,186633.0,138460.0,154400.0,219320.0,155000.0,313000.0,296000.09,283220.0,251660.0
77,,,,Other drugs,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0602799763009,,,,,,,,
78,,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711719984091818,4.50356989933737,,,,,2.98738993322663
79,,,,,Cannabis oil,17.0,36.0,8.0,20.0,9.0,24.0,,,,14.5690002441406,0.0500000007450581,4.30000019073486,27.2719993591309,0.0149999996647239,10.625,7.05399990081787,4.29500007629395,1.05999994277954,14.4729995727539,19.0,0.693,0.008,,6.08,,47.007,,,,,,,,,,,,,
80,,,,,Cannabis plants,,1500.0,710.0,,88508.6,86400.0,29219.19921875,3860500.0,9989.3,91591.8,,5060.0,,238923.0,6315.92578125,,,,,,,73810.724,93206.0,20284.03,,37210.027,,,,,,,,,12752.542,,,,
81,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,0.199449995541945,0.188899995777756,0.367389991788194,0.15917999644205,5.23316988302954,0.289879993520677,0.362359991900623,,,0.71671998398006,,0.604579986486584,1.06455997620523,,0.948999978788197,0.558809987509623,0.552429987652227,,,,,,,,,,,
82,,,,,Non-specified,,,,,,,,,,,,,,,,,,,0.495159988932312,0.739169983478263,0.717689983958378,1.35768996965326,0.604579986486584,1.06465997620299,1.68256996239163,0.948999978788197,0.558809987509623,0.552429987652227,,0.612539986308664,,,,,,,,,
83,,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.54,,,
